fg_bucket,count,avg_fwd1,avg_fwd5,avg_fwd20,std_fwd20,min_fwd20,max_fwd20
extreme fear,1644,0.0007300158258851758,0.0044200092962906985,0.018080017740529315,0.05944016577485256,-0.23664573328407834,0.2513880685174247
extreme greed,1272,0.0006863243559047706,0.003434671728443316,0.010685111573341285,0.028109638609605286,-0.09342230695900876,0.08652635366073025
fear,2781,0.00056155433774875,0.0035272709123923716,0.012348761707571498,0.048673470734205845,-0.33768205977773175,0.18706118355065196
greed,3669,0.0004991038265221432,0.0017877223371987056,0.008228338911327345,0.03834083135176441,-0.3125212195287567,0.1504063311066672
neutral,1695,0.0004932385114562084,0.0010750877992683403,0.00784438714579893,0.04650253830852618,-0.32203332199932005,0.17596755708366374
