fg_bucket,ticker,avg_fwd5,med_fwd5,hit_fwd5,std_fwd5,count
extreme fear,QQQ,0.005814525157240669,0.0097105508870214,0.6163021868787276,0.03881816794273333,503
extreme fear,SPY,0.004323543100648595,0.0078136739293763,0.614314115308151,0.03618380610351842,503
extreme fear,DIA,0.004096807447911903,0.0071892488051958,0.614314115308151,0.036449932675120464,503
extreme greed,QQQ,0.004197206180669698,0.0050029977354707,0.6573604060913706,0.01670997746211692,394
extreme greed,DIA,0.0033202360255861316,0.0036594453721202,0.6294416243654822,0.010743224202742045,394
extreme greed,SPY,0.002851626091226986,0.0034276411027902003,0.6345177664974619,0.011540720282303523,394
fear,QQQ,0.004000044094167122,0.0056653384115048,0.5947867298578199,0.02708030404584023,844
fear,SPY,0.002905928635642809,0.00540693577141535,0.6007109004739336,0.02254827890330697,844
fear,DIA,0.002512693418526717,0.00324199582437175,0.5651658767772512,0.021420605969306335,844
greed,QQQ,0.002199301361834388,0.0043309174474102,0.5819592628516004,0.022572182651704093,1031
greed,SPY,0.0011859730084621445,0.0030683275325149,0.5829291949563531,0.017245598621424732,1031
greed,DIA,0.0008740838391474952,0.0026616122918095,0.5712900096993211,0.016898676773813025,1031
neutral,QQQ,0.0008622329742124368,0.00504362588791845,0.5756302521008403,0.02584841574658055,476
neutral,SPY,0.0007248645732753961,0.00266880779464945,0.5903361344537815,0.021162616551359523,476
neutral,DIA,0.000671129167872079,0.0024323608267944,0.5630252100840336,0.020611070285078747,476
