fg_bucket,ticker,avg_fwd1,med_fwd1,hit_fwd1,std_fwd1,count
extreme fear,QQQ,0.001002907131219173,0.0017151110308719,0.5407554671968191,0.021173442531092924,503
extreme fear,SPY,0.0007155066064719415,0.0012960562858728,0.5447316103379721,0.018785355011192457,503
extreme fear,DIA,0.0006568910338655921,0.001284717973816,0.5546719681908548,0.018962835460692346,503
extreme greed,QQQ,0.0008132400948309019,0.00092670252344045,0.6015228426395939,0.007667081246027682,394
extreme greed,DIA,0.0007103071902961723,0.0008324035747879,0.5862944162436549,0.00526317048154598,394
extreme greed,SPY,0.0005878886536220929,0.00065335030375155,0.5736040609137056,0.005758948317520606,394
fear,QQQ,0.0006837425854796909,0.0014719501786062,0.5580568720379147,0.01265202017330363,844
fear,SPY,0.00046503291872037765,0.00073115488441985,0.5379146919431279,0.010518001146023035,844
fear,DIA,0.0003940407445640281,0.00063547656034595,0.5367298578199052,0.009973549491035183,844
greed,QQQ,0.00048808909301414455,0.0007648768548262,0.5402521823472357,0.009910985617100623,1031
greed,SPY,0.00029845264727392217,0.000423250564334,0.5324927255092143,0.007670793791110202,1031
greed,DIA,0.0002912703650181179,0.0005569789461958,0.5412221144519883,0.007164553899209336,1031
neutral,QQQ,0.0005770322315713303,0.00069204011432795,0.5294117647058824,0.011826974645916696,476
neutral,SPY,0.0005102187587272491,0.0006369544336811499,0.5567226890756303,0.009186682698782941,476
neutral,DIA,0.00039068571389387294,0.0002996900892806,0.5126050420168067,0.008506787061610904,476
