date,fg_score,fg_rating
2025-02-13,43.68571428571429,fear
2025-02-17,46.800000000000004,neutral
2025-02-18,47.628571428571426,neutral
2025-02-19,44.228571428571435,fear
2025-02-20,36.971428571428575,fear
2025-02-21,29.542857142857144,fear
2025-02-24,24.199999999999996,extreme fear
2025-02-25,21.25714285714286,extreme fear
2025-02-26,12.757142857142858,extreme fear
2025-02-27,20.657142857142855,extreme fear
2025-02-28,12.342857142857143,extreme fear
2025-03-03,11.042857142857143,extreme fear
2025-03-04,11.514285714285714,extreme fear
2025-03-05,17.2,extreme fear
2025-03-06,17.642857142857146,extreme fear
2025-03-07,17.071428571428573,extreme fear
2025-03-10,15.114285714285716,extreme fear
2025-03-11,15.914285714285715,extreme fear
2025-03-12,15.185714285714287,extreme fear
2025-03-13,22.057142857142857,extreme fear
2025-03-14,22.571428571428573,extreme fear
2025-03-17,22.228571428571428,extreme fear
2025-03-18,21.599999999999998,extreme fear
2025-03-19,21.685714285714287,extreme fear
2025-03-20,22.685714285714287,extreme fear
2025-03-21,25.400000000000002,fear
2025-03-24,29.285714285714285,fear
2025-03-25,28.88571428571429,fear
2025-03-26,28.342857142857145,fear
2025-03-27,26.371428571428574,fear
2025-03-28,21.114285714285717,extreme fear
2025-03-31,19.571428571428573,extreme fear
2025-04-01,22.599999999999998,extreme fear
2025-04-02,12.142857142857142,extreme fear
2025-04-03,5.385714285714286,extreme fear
2025-04-04,4.0,extreme fear
2025-04-07,2.9,extreme fear
2025-04-08,9.5,extreme fear
2025-04-09,5.614285714285715,extreme fear
2025-04-10,8.385714285714286,extreme fear
2025-04-11,12.342857142857143,extreme fear
2025-04-14,13.114285714285716,extreme fear
2025-04-15,11.142857142857142,extreme fear
2025-04-16,16.057142857142857,extreme fear
2025-04-18,12.371428571428572,extreme fear
2025-04-21,13.600000000000003,extreme fear
2025-04-22,21.542857142857144,extreme fear
2025-04-23,24.08571428571429,extreme fear
2025-04-24,34.51428571428572,fear
2025-04-25,32.142857142857146,fear
2025-04-28,32.74285714285714,fear
2025-04-29,32.371428571428574,fear
2025-04-30,41.25714285714287,fear
2025-05-01,38.28571428571429,fear
2025-05-02,53.057142857142864,neutral
2025-05-05,54.65714285714286,neutral
2025-05-06,54.142857142857146,neutral
2025-05-07,57.65714285714286,greed
2025-05-08,60.02857142857143,greed
2025-05-09,64.4857142857143,greed
2025-05-12,68.2,greed
2025-05-13,70.4,greed
2025-05-14,69.14285714285714,greed
2025-05-15,70.60000000000001,greed
2025-05-16,69.74285714285715,greed
2025-05-19,69.17142857142858,greed
2025-05-20,66.22857142857143,greed
2025-05-21,66.8,greed
2025-05-22,64.08571428571429,greed
2025-05-26,65.74285714285715,greed
2025-05-27,64.74285714285715,greed
2025-05-28,64.45714285714287,greed
2025-05-29,61.91428571428571,greed
2025-05-30,62.42857142857144,greed
2025-06-02,54.57142857142857,neutral
2025-06-03,54.88571428571429,neutral
2025-06-04,57.97142857142858,greed
2025-06-05,61.77142857142858,greed
2025-06-06,63.42857142857143,greed
2025-06-09,64.0,greed
2025-06-10,64.2,greed
2025-06-11,64.6,greed
2025-06-12,59.54285714285715,greed
2025-06-13,61.114285714285714,greed
2025-06-16,57.42857142857144,greed
2025-06-17,54.285714285714285,neutral
2025-06-19,54.51428571428573,neutral
2025-06-20,56.60000000000001,greed
2025-06-23,57.885714285714286,greed
2025-06-24,59.25714285714286,greed
2025-06-25,63.00000000000001,greed
2025-06-26,64.8,greed
2025-06-27,69.22857142857143,greed
2025-06-30,67.54285714285714,greed
2025-07-01,63.714285714285715,greed
2025-07-02,77.62857142857145,extreme greed
2025-07-04,75.08571428571429,extreme greed
2025-07-07,74.62857142857142,greed
2025-07-08,75.91428571428571,extreme greed
2025-07-09,76.97142857142856,extreme greed
2025-07-10,75.25714285714285,extreme greed
2025-07-11,76.11428571428573,extreme greed
2025-07-14,73.4857142857143,greed
2025-07-15,72.94285714285715,greed
2025-07-16,74.17142857142858,greed
2025-07-17,73.94285714285715,greed
2025-07-18,73.28571428571429,greed
2025-07-21,73.88571428571429,greed
2025-07-22,76.3714285714286,extreme greed
2025-07-23,75.25714285714287,extreme greed
2025-07-24,74.65714285714286,greed
2025-07-25,73.8,greed
2025-07-28,70.62857142857143,greed
2025-07-29,68.02857142857142,greed
2025-07-30,63.714285714285715,greed
2025-07-31,49.800000000000004,neutral
2025-08-01,56.885714285714286,greed
2025-08-04,55.028571428571425,greed
2025-08-05,55.314285714285724,greed
2025-08-06,54.71428571428572,neutral
2025-08-07,58.37142857142857,greed
2025-08-08,57.628571428571426,greed
2025-08-11,62.25714285714286,greed
2025-08-12,63.34285714285714,greed
2025-08-13,63.25714285714287,greed
2025-08-14,63.54285714285715,greed
2025-08-15,64.2,greed
2025-08-18,59.88571428571429,greed
