date,ticker,close,fg_score,fg_rating,fg_bucket,ret1,fwd1,fwd5,fwd20,price_high,fg_high,prev_price_high,prev_fg_high,price_higher_high,fg_lower_high,bearish_divergence
2024-05-09,DIA,394.0,47,neutral,neutral,0.0090145461995492,0.0029949238578681,0.013223350253807,-0.013984771573604,394.0,47.0,390.48,57.0,True,True,1
2024-08-19,DIA,409.11,47,neutral,neutral,0.0058268181147662,-0.0013443817066315,0.0088240326562538,0.0199212925619026,409.11,54.0,408.49,57.0,True,True,1
2025-01-22,DIA,441.28,44,fear,fear,0.002681208816178,0.009291153009427,0.0133701957940537,-0.0161575416968817,441.28,51.0,440.1,56.0,True,True,1
2025-01-23,DIA,445.38,46,neutral,neutral,0.009291153009427,-0.0028290448605684,0.0077237415240918,-0.0243612196326732,445.38,46.0,441.28,51.0,True,True,1
2025-06-24,DIA,430.79,59,greed,greed,0.011909236117636,-0.002158824485248,0.0327305647763409,0.0378838877411267,430.79,65.0,430.49,67.0,True,True,1
2025-08-22,DIA,456.64,54,neutral,neutral,0.0193994865498381,-0.0078179747722494,-0.0012044498948844,0.0136431324456903,456.64,71.0,449.53,74.0,True,True,1
2011-02-04,QQQ,57.375,49,neutral,neutral,0.0055645620645841,0.0047930283224399,0.018562091503268,-0.0032244008714597,57.375,63.0,57.18,64.0,True,True,1
2011-02-07,QQQ,57.65,56,greed,greed,0.0047930283224399,0.0065047701647875,0.016131830008673,-0.0039895923677362,57.65,60.0,57.375,63.0,True,True,1
2012-02-16,QQQ,63.63,81,extreme greed,extreme greed,0.013700812490043,-0.0031431714600032,0.0051862329090051,0.0454188275970453,63.63,88.0,63.21,89.0,True,True,1
2012-03-09,QQQ,65.02,70,greed,greed,0.004169884169884,0.0004613964933866,0.0230698246693326,0.0336819440172254,65.02,83.0,64.92,85.0,True,True,1
2012-03-13,QQQ,66.26,79,extreme greed,extreme greed,0.0186010760953114,0.0034711741623905,0.0128282523392695,0.002867491699366,66.26,82.0,65.05,83.0,True,True,1
2012-03-15,QQQ,66.68,79,extreme greed,extreme greed,0.0028575725673034,-0.0023995200959809,0.0044991001799639,-0.0073485302939413,66.68,81.0,66.49,82.0,True,True,1
2012-03-19,QQQ,66.99,73,greed,greed,0.0070655441972338,0.0017913121361397,0.0167189132706375,-0.0031347962382444,66.99,79.0,66.68,80.0,True,True,1
2013-04-30,QQQ,70.72,61,greed,greed,0.0072639225181598,-0.0046662895927601,0.0231900452488686,0.0398755656108598,70.72,61.0,70.21,63.0,True,True,1
2013-10-17,QQQ,80.86,48,neutral,neutral,0.0059716347350087,0.0158298293346526,0.0184269107098689,0.0359881276279989,80.86,57.0,80.38,62.0,True,True,1
2013-10-18,QQQ,82.14,56,greed,greed,0.0158298293346526,0.0021913805697588,0.0092524957389823,0.0221572924275626,82.14,56.0,80.86,57.0,True,True,1
2014-02-12,QQQ,88.97,32,fear,fear,0.0019144144144145,0.0074182308643362,0.0121389232325501,0.0034843205574913,88.97,65.0,88.8,68.0,True,True,1
2014-02-13,QQQ,89.63,32,fear,fear,0.0074182308643362,0.0020082561642307,0.0033470936070514,-0.0107106995425638,89.63,63.0,88.97,65.0,True,True,1
2014-02-14,QQQ,89.81,30,fear,fear,0.0020082561642307,0.0048992317113907,0.0066807705155327,-0.0040084623093196,89.81,62.0,89.63,63.0,True,True,1
2014-05-05,QQQ,87.95,34,fear,fear,0.0052577437421419,-0.0129619101762364,0.00318362706083,0.0367254121660034,87.95,40.0,87.82,49.0,True,True,1
2014-07-22,QQQ,96.61,38,fear,fear,0.0063541666666666,0.0063865024324605,-0.0001035089535245,0.0216333712866163,96.61,87.0,96.12,93.0,True,True,1
2014-08-15,QQQ,97.4,14,extreme fear,extreme fear,0.0048488600020633,0.0077002053388091,0.0169404517453797,0.0114989733059547,97.4,42.0,97.227,46.0,True,True,1
2014-08-21,QQQ,98.9,36,fear,fear,0.0020263424518744,0.0015166835187057,0.0051567239635994,0.0109201213346814,98.9,37.0,98.7,42.0,True,True,1
2016-04-18,QQQ,111.23,75,extreme greed,extreme greed,0.0053326102675343,-0.0061134585992987,-0.0202283556594443,-0.0396475770925111,111.23,78.0,110.92,79.0,True,True,1
2016-07-08,QQQ,110.3,78,extreme greed,extreme greed,0.0154667648683481,0.0057116953762466,0.013599274705349,0.0587488667271079,110.3,78.0,110.19,79.0,True,True,1
2016-08-15,QQQ,117.7,81,extreme greed,extreme greed,0.0042662116040954,-0.0055225148683093,-0.0029736618521666,-0.0204757858963466,117.7,90.0,117.2,91.0,True,True,1
2016-09-06,QQQ,117.85,65,greed,greed,0.0062329234972675,0.0005939753924479,-0.0217225286380992,0.004412388629614,117.85,81.0,117.7,84.0,True,True,1
2016-09-21,QQQ,118.15,56,greed,greed,0.0098290598290597,0.0079559881506559,0.0046550994498517,-0.0025391451544647,118.15,70.0,117.92,76.0,True,True,1
2017-01-20,QQQ,123.25,54,neutral,neutral,0.0021954789396649,0.0008113590263691,0.0206896551724138,0.0532251521298174,123.25,74.0,123.16,79.0,True,True,1
2017-01-23,QQQ,123.35,49,neutral,neutral,0.0008113590263691,0.0067288204296718,0.011917308471828,0.0575597892176732,123.35,71.0,123.25,74.0,True,True,1
2017-02-06,QQQ,125.83,56,greed,greed,0.001193507320178,0.0036557259794962,0.0180402129857744,0.0371930382261781,125.83,66.0,125.8,70.0,True,True,1
2017-02-07,QQQ,126.29,56,greed,greed,0.0036557259794962,0.0016628394963971,0.0177369546282366,0.0352363607569879,126.29,62.0,125.83,66.0,True,True,1
2017-03-29,QQQ,132.25,34,fear,fear,0.0046338498936493,0.0016635160680529,-0.002117202268431,0.0264650283553875,132.25,75.0,132.1,81.0,True,True,1
2017-03-30,QQQ,132.47,43,fear,fear,0.0016635160680529,-0.0006793991092323,-0.003246017966332,0.0265720540499736,132.47,74.0,132.25,75.0,True,True,1
2017-04-04,QQQ,132.51,46,neutral,neutral,0.0015873015873013,-0.0040751641385555,-0.0079993962719795,0.0338087691494982,132.51,66.0,132.47,70.0,True,True,1
2017-08-30,QQQ,144.65,35,fear,fear,0.0117507169336223,0.0107155202212234,0.0056688558589699,-0.0016591773245766,144.65,64.0,144.56,67.0,True,True,1
2017-11-03,QQQ,153.27,66,greed,greed,0.0096172847638495,0.0033927056827818,0.0026750179421934,-0.003653683042996,153.27,90.0,152.15,92.0,True,True,1
2017-11-21,QQQ,155.5,54,neutral,neutral,0.0108561398946889,0.0012218649517685,-0.0105466237942121,0.0130546623794212,155.5,75.0,154.54,87.0,True,True,1
2017-11-22,QQQ,155.69,54,neutral,neutral,0.0012218649517685,0.00366112145931,-0.0034684308561885,0.0119468173935385,155.69,74.0,155.5,75.0,True,True,1
2017-11-28,QQQ,156.59,64,greed,greed,0.0025609834176323,-0.0174340634778721,-0.024139472507823,-0.0003193051919024,156.59,72.0,156.26,74.0,True,True,1
2018-07-13,QQQ,179.61,47,neutral,neutral,0.000835840855901,-0.0023940760536719,-0.003451923612271,0.0050665330438171,179.61,61.0,179.46,63.0,True,True,1
2018-07-17,QQQ,180.27,49,neutral,neutral,0.0060832682218998,-0.00188605979919,0.000166417041105,0.0065457369501302,180.27,57.0,179.61,61.0,True,True,1
2019-10-17,QQQ,193.55,50,neutral,neutral,0.0026419394944054,-0.009609919917334,0.0027899767501937,0.0407129940583828,193.55,59.0,193.52,63.0,True,True,1
2019-12-16,QQQ,209.27,82,extreme greed,extreme greed,0.0100390945508954,0.0005734218951591,0.0121374301142065,0.052085822143642,209.27,83.0,207.19,87.0,True,True,1
2020-02-10,QQQ,231.97,57,greed,greed,0.012085514834206,0.0001724360908736,0.0118980902702934,-0.1201017372936155,231.97,90.0,230.19,91.0,True,True,1
2020-02-12,QQQ,234.27,60,greed,greed,0.0097409594414035,-0.0012805736970162,0.0021769752849276,-0.2430955734835873,234.27,89.0,232.01,90.0,True,True,1
2020-02-18,QQQ,234.73,51,neutral,neutral,0.0003835663143538,0.0095854811911557,-0.0824777403825671,-0.2240446470412815,234.73,81.0,234.64,89.0,True,True,1
2020-02-19,QQQ,236.98,53,neutral,neutral,0.0095854811911557,-0.0092834838382985,-0.0865051903114186,-0.2547894337074858,236.98,74.0,234.73,81.0,True,True,1
2020-12-28,QQQ,312.68,54,neutral,neutral,0.0100788215531721,0.0008954842010999,-0.002622489446079,0.0215875655622361,312.68,89.0,311.0,92.0,True,True,1
2021-01-07,QQQ,314.98,66,greed,greed,0.0241919750276387,0.0128579592355069,-0.0020001269921899,0.0520033017969394,314.98,80.0,313.74,82.0,True,True,1
2021-01-08,QQQ,319.03,71,greed,greed,0.0128579592355069,-0.0144500517192739,-0.0224743754505845,0.0456069962072532,319.03,77.0,314.98,80.0,True,True,1
2021-02-08,QQQ,333.58,56,greed,greed,0.0066996619990342,-0.0002098447149109,0.0058756520175071,-0.0653816176029738,333.58,70.0,331.36,71.0,True,True,1
2021-02-11,QQQ,334.58,66,greed,greed,0.0054996243425995,0.00558909677805,-0.0106402056309402,-0.0571462729392073,334.58,69.0,333.58,70.0,True,True,1
2021-04-15,QQQ,341.61,47,neutral,neutral,0.0151555674422751,0.001170925909663,-0.0187640877023507,-0.0651913000204913,341.61,54.0,340.6,57.0,True,True,1
2021-06-07,QQQ,336.6,44,fear,fear,0.0029797377830751,0.0004753416518121,0.0234997029114674,0.070083184789067,336.6,44.0,335.6,48.0,True,True,1
2021-07-14,QQQ,363.07,29,fear,fear,0.0017934992550079,-0.0070234390062522,-0.0041589776076238,0.0086484699920125,363.07,44.0,362.42,52.0,True,True,1
2023-03-29,QQQ,312.72,41,fear,fear,0.0182339150820527,0.009465336403172,0.0102327961115373,0.0243988232284471,312.72,55.0,310.89,65.0,True,True,1
2023-05-17,QQQ,331.12,60,greed,greed,0.0121041692138401,0.0185733268905532,0.0016006281710556,0.1182048804058951,331.12,64.0,327.16,67.0,True,True,1
2023-08-30,QQQ,376.86,50,neutral,neutral,0.0055767537422952,0.0029984609669373,-0.0127368253462825,-0.0500185745369633,376.86,73.0,375.19,77.0,True,True,1
2023-08-31,QQQ,377.99,52,neutral,neutral,0.0029984609669373,-0.0010582290536788,-0.014312547951004,-0.0521706923463584,377.99,72.0,376.86,73.0,True,True,1
2023-09-05,QQQ,378.07,59,greed,greed,0.0012712201064646,-0.0088078927182796,-0.0139656677334883,-0.0612320469754277,378.07,69.0,377.99,72.0,True,True,1
2024-02-02,QQQ,429.01,75,greed,extreme greed,0.0169005404380393,-0.0013053308780681,0.0187408218922635,0.0349875294282184,429.01,76.0,428.15,79.0,True,True,1
2024-02-08,QQQ,432.79,75,greed,extreme greed,0.0018518947197851,0.0098431109776102,0.0039742138219458,0.010628711384274,432.79,75.0,431.99,76.0,True,True,1
2024-06-18,QQQ,485.21,46,neutral,neutral,0.000309240094009,-0.0077080027204714,-0.0099750623441395,-0.011788710043074,485.21,61.0,485.06,65.0,True,True,1
2024-07-02,QQQ,486.98,39,fear,fear,0.0104996679946878,0.0083370980327734,0.0328144893014086,-0.0326707462318781,486.98,50.0,485.21,52.0,True,True,1
2024-12-11,QQQ,529.92,47,neutral,neutral,0.0179024202842872,-0.006453804347826,-0.0253811896135264,-0.0317783816425119,529.92,67.0,526.48,69.0,True,True,1
2024-12-13,QQQ,530.53,56,greed,greed,0.0076543209876542,0.0144006936459766,-0.0223738525625317,0.0018472093943792,530.53,66.0,529.92,67.0,True,True,1
2025-06-16,QQQ,534.29,57,greed,greed,0.0139099741915893,-0.009751258679743,0.0102753186471766,0.050478204720283,534.29,70.0,534.21,71.0,True,True,1
2025-06-24,QQQ,539.78,59,greed,greed,0.015292015423681,0.002556597132165,0.0133572937122532,0.0467412649597984,539.78,65.0,534.29,67.0,True,True,1
2025-10-20,QQQ,611.54,29,fear,fear,0.0126007981057407,-0.0002616345619256,0.0270628249991824,,611.54,55.0,611.44,57.0,True,True,1
2025-10-29,QQQ,635.77,36,fear,fear,0.0045029387600328,-0.0152885477452537,-0.0196454692734794,,635.77,54.0,632.92,55.0,True,True,1
2011-02-03,SPY,130.78,47,neutral,neutral,0.0022223925204996,0.0028291787735128,0.0117755008411071,0.0129224652087474,130.78,64.0,130.74,67.0,True,True,1
2011-02-04,SPY,131.15,49,neutral,neutral,0.0028291787735128,0.0062523827678231,0.014944719786504,0.0021349599695005,131.15,63.0,130.78,64.0,True,True,1
2011-02-07,SPY,131.97,56,greed,greed,0.0062523827678231,0.0045464878381449,0.0110631204061528,0.0046222626354475,131.97,60.0,131.15,63.0,True,True,1
2011-04-01,SPY,133.15,27,fear,fear,0.0042235462704578,0.000826135936913,-0.0021779947427712,0.0230567029665789,133.15,35.0,132.77,39.0,True,True,1
2011-04-04,SPY,133.26,31,fear,fear,0.000826135936913,-0.0001500825453998,-0.0060033018159986,0.0185351943568962,133.26,31.0,133.15,35.0,True,True,1
2012-02-16,SPY,136.05,81,extreme greed,extreme greed,0.0110731272294888,0.0026460859977948,0.006468210216832,0.0312385152517456,136.05,88.0,135.36,89.0,True,True,1
2012-03-13,SPY,140.06,79,extreme greed,extreme greed,0.0180258758540485,-0.0010709695844638,0.0027131229473082,-0.0218477795230615,140.06,82.0,137.73,83.0,True,True,1
2012-03-15,SPY,140.72,79,extreme greed,extreme greed,0.0057894360660424,-0.0029846503695279,-0.0108015918135304,-0.0254405912450256,140.72,81.0,140.06,82.0,True,True,1
2012-03-19,SPY,140.85,73,greed,greed,0.0039201710620098,-0.0029108981185658,0.0053958111466099,-0.0125665601703939,140.85,79.0,140.72,80.0,True,True,1
2013-03-06,SPY,154.5,69,greed,greed,0.0013610733035194,0.0018122977346277,0.0090614886731392,0.0088025889967638,154.5,87.0,154.29,88.0,True,True,1
2013-04-30,SPY,159.68,61,greed,greed,0.0023854362837414,-0.0087675350701402,0.0182865731462924,0.034694388777555,159.68,61.0,159.3,63.0,True,True,1
2013-10-17,SPY,173.22,48,neutral,neutral,0.0066833265531469,0.0067544163491513,0.0111419004733865,0.0349266828310819,173.22,57.0,172.76,62.0,True,True,1
2013-10-18,SPY,174.39,56,greed,greed,0.0067544163491513,5.7342737542320776e-05,0.0089454670565973,0.0324559894489364,174.39,56.0,173.22,57.0,True,True,1
2014-05-05,SPY,188.42,34,fear,fear,0.0019142826757416,-0.0087039592399956,0.0072709903407282,0.0232459399214522,188.42,40.0,188.33,49.0,True,True,1
2014-08-21,SPY,199.5,36,fear,fear,0.0029157450231249,-0.0015538847117794,0.0032080200501252,0.0060150375939849,199.5,37.0,198.92,42.0,True,True,1
